Species,Strain,Samples , Ethyl Acetate,Ethanol,"Propanoic acid, ethyl ester",2-Pentanone,Decane,Methyl Isobutyl Ketone,Amylene hydrate,"Butanoic acid, 2-methyl-, methyl ester",Isobutyl acetate,Methyl isovalerate,1-Propanol,Methyl thiolacetate,"Butanoic acid, 2-methyl-, ethyl ester",2-Hexanone,Ethyl isocyanide,"1-Propanol, 2-methyl-","2-Pentanol, 2-methyl-",2-Pentanol,"1-Butanol, 3-methyl-, acetate",1 - Undecene,1-Butanol,2-Heptanone,Dodecane,"1-Butanol, 3-methyl-", S-Methyl 3-methylbutanethioate,"2-Heptanone, 4,6-dimethyl-"," 3-Buten-1-ol, 3-methyl-","Thiocyanic acid, methyl ester",Acetoin,"1-Pentanol, 2-methyl-","Butanoic acid, 3-methyl-, 2-methylbutyl ester","2-Heptanol, 4-methyl-",2-Nonanone ,Acetic acid,2-Nonanol,Pyrrole,"1H-Pyrrole, 2-methyl-","1-Heptanol, 2,4-dimethyl-,",Propanoic acid,"Propanoic acid, 2-methyl-",1-Octanol,2-Undecanone,"Benzoic acid, methyl ester",Butyrolactone ," Decanoic acid, ethyl ester","Acetic acid, decyl ester",2-Undecanol,"Butanoic acid, 3-methyl-",2-Dodecanone,1-Decanol,2-Tridecanone," Dodecanoic acid, ethyl ester","1,4-Butanediol",Phenylethyl Alcohol,"Acetophenone, 2'-amino-",2-Tridecanol,Tetradecanal,1-Dodecanol,Methyl tetradecanoate, 2-Pentadecanone,"Tetradecanoic acid, ethyl ester",Hexadecanal,n-Tridecan-1-ol,1-Tetradecanol,n-Pentadecanol, 1-Hexadecanol,Indole
PA,3,PA.B_LB_D,0.0,0,,521478,726757,0.0,0,1098813.0,0.0,539042.0,,185840.0,,,,125236,50818.0,229256.0,,8408280.0,0.0,0,0.0,2006092,106432.0,85656.0,82100,277327.0,0,,0.0,0.0,381346.0,,53306.0,83078.0,0.0,0.0,,,,195093.0,0.0,,,,0.0,,,,,,,,362422.0,,,,,,,,,,,,
PA,3,PA.B_LB_E,0.0,0,,1257192,0,0.0,0,691874.0,196600.0,264088.0,,325764.0,,,,106088,77304.0,313564.0,,6122284.0,0.0,199717,0.0,2050926,153090.0,183690.0,132599,347183.0,0,,0.0,0.0,1766587.0,,422604.0,143921.0,0.0,0.0,,,,1411966.0,0.0,,,,384342.0,,,,,,,,569141.0,,,,,,,,,,,,
PA,2,PA.A_TSB_A,102838.0,407274,,312919,416155,878501.0,0,0.0,0.0,0.0,,180978.0,,,,613288,0.0,1220117.0,,1089098.0,297541.0,0,0.0,37125000,1013976.0,66660.0,94665,0.0,0,,590669.0,254736.0,77440.0,,315708.0,296002.0,437807.0,50895.0,,,,0.0,85303.0,,,,220455.0,,,,,,,,0.0,,,,,,,,,,,,
PA,2,PA.A_TSB_B,366196.0,105844,,922111,405410,1044023.0,0,0.0,0.0,0.0,,350140.0,,,,533119,138682.0,1405586.0,,1586875.0,1330842.0,131327,0.0,25630541,922092.0,84463.0,138407,0.0,0,,174814.0,237817.0,174811.0,,364610.0,348566.0,501438.0,57295.0,,,,95420.0,129277.0,,,,327898.0,,,,,,,,0.0,,,,,,,,,,,,
PA,2,PA.A_TSB_C,168119.0,201974,,790827,185434,920649.0,0,0.0,0.0,0.0,,120517.0,,,,358184,96881.0,1206319.0,,0.0,292562.0,0,0.0,28478038,647846.0,53945.0,123534,0.0,0,,153504.0,222587.0,360272.0,,437056.0,361440.0,600925.0,65646.0,,,,266974.0,128608.0,,,,430422.0,,,,,,,,284883.0,,,,,,,,,,,,
PA,2,PA.A_TSB_D,0.0,100302,,484660,454496,524710.0,0,0.0,0.0,0.0,,96861.0,,,,528587,61466.0,768442.0,,2178707.0,546953.0,0,0.0,18337136,409427.0,0.0,81767,0.0,0,,323499.0,167137.0,463341.0,,428548.0,267344.0,438524.0,0.0,,,,586721.0,133784.0,,,,617888.0,,,,,,,,551104.0,,,,,,,,,,,,
PA,3,PA.B_TSB_A,224198.0,213164,,809906,706936,932763.0,0,0.0,0.0,0.0,,203944.0,,,,436552,0.0,1209988.0,,12921628.0,0.0,83664,0.0,18573029,91195.0,131925.0,141355,115156.0,0,,173217.0,119002.0,525712.0,,1285724.0,142353.0,424489.0,79448.0,,,,4396492.0,111623.0,,,,2800635.0,,,,,,,,1528228.0,,,,,,,,,,,,
PA,3,PA.B_TSB_B,191043.0,113006,,531903,512688,1026786.0,0,0.0,0.0,0.0,,236598.0,,,,492060,64027.0,2282603.0,,7584736.0,0.0,182915,0.0,24462435,114948.0,88116.0,71410,99820.0,0,,172688.0,125798.0,524913.0,,1297487.0,383895.0,621874.0,55187.0,,,,1447782.0,81423.0,,,,3287479.0,,,,,,,,1937240.0,,,,,,,,,,,,
PA,3,PA.B_TSB_C,0.0,100112,,219493,0,0.0,0,109543.0,173727.0,0.0,,164078.0,,,,0,76978.0,585679.0,,12179961.0,629727.0,0,0.0,10710622,87884.0,116106.0,83352,0.0,0,,0.0,98575.0,727805.0,,1136661.0,154214.0,278470.0,54359.0,,,,1031358.0,0.0,,,,260136.0,,,,,,,,1087800.0,,,,,,,,,,,,
EC,0,EC.A_BHI_A,1335746.0,10739591,127719.0,3891622,664734,,353713,,138071.0,,0.0,154284.0,,149124.0,105966.0,636845,173087.0,,,,5985957.0,408380,0.0,12137381,,204993.0,715127,,203554,186787.0,,,308038.0,5449509.0,,,,145400.0,108830.0,,1303753.0,428336.0,584398.0,,0.0,51900.0,0.0,,0.0,1120106.0,96559.0,0.0,,219638.0,,0.0,0.0,1087630.0,0.0,0.0,0.0,0.0,0.0,1119579.0,0.0,1061325.0,10282706.0
EC,0,EC.A_BHI_B,1077717.0,7443452,99116.0,2439108,522829,,152483,,0.0,,0.0,112048.0,,113513.0,86354.0,392103,110047.0,,,,3989960.0,252076,0.0,7723728,,92508.0,415206,,168148,85904.0,,,383685.0,2069148.0,,,,99866.0,0.0,,1124989.0,623212.0,324415.0,,173839.0,101263.0,0.0,,0.0,2260282.0,303186.0,68203.0,,202598.0,,0.0,0.0,2533698.0,0.0,68658.0,0.0,400513.0,0.0,979951.0,0.0,650859.0,106378505.0
EC,0,EC.A_BHI_C,893609.0,6250253,83418.0,2314358,524002,,135522,,82601.0,,0.0,88526.0,,95518.0,67095.0,275232,76816.0,,,,3174018.0,250529,0.0,6210576,,108991.0,407557,,118337,106202.0,,,394008.0,3316273.0,,,,95894.0,0.0,,1238561.0,712079.0,328561.0,,161042.0,178266.0,0.0,,0.0,2407249.0,446725.0,123501.0,,211215.0,,70060.0,113303.0,3621289.0,144229.0,134147.0,88404.0,652645.0,0.0,1718402.0,0.0,1970524.0,112700686.0
EC,0,EC.A_BHI_D,809390.0,7626831,175461.0,2591269,604543,,115800,,69547.0,,0.0,85508.0,,103160.0,0.0,189839,73358.0,,,,3017282.0,348774,0.0,5653746,,69789.0,487632,,0,121811.0,,,420686.0,4930272.0,,,,112262.0,122108.0,,1910713.0,529364.0,470932.0,,128731.0,125201.0,0.0,,0.0,4553996.0,357832.0,118849.0,,386583.0,,91450.0,111256.0,5051317.0,137887.0,179352.0,119785.0,408288.0,0.0,2450605.0,0.0,4268126.0,93089962.0
EC,1,EC.B_BHI_A,608402.0,3717130,0.0,2973792,0,,0,,0.0,,0.0,128022.0,,140813.0,0.0,139641,60794.0,,,,3879386.0,646981,0.0,8341626,,0.0,476972,,0,63082.0,,,2271616.0,5518148.0,,,,77569.0,0.0,,799527.0,841414.0,556478.0,,0.0,0.0,0.0,,0.0,2479369.0,80690.0,0.0,,218444.0,,90264.0,0.0,802253.0,0.0,0.0,0.0,0.0,0.0,166612.0,0.0,64116.0,95504755.0
EC,1,EC.B_BHI_B,947309.0,5157444,0.0,2507968,0,,204422,,89753.0,,0.0,90122.0,,116323.0,105656.0,0,138306.0,,,,3355434.0,351600,0.0,8328364,,79016.0,481816,,0,0.0,,,1155205.0,7058046.0,,,,63099.0,177595.0,,1545013.0,590411.0,296451.0,,0.0,164633.0,0.0,,0.0,5542281.0,348812.0,0.0,,229405.0,,120597.0,0.0,3764377.0,308213.0,82496.0,0.0,57578.0,0.0,329919.0,0.0,119065.0,111534573.0
EC,1,EC.B_BHI_C,961495.0,6648458,0.0,2460826,552271,,140271,,63628.0,,0.0,131277.0,,123060.0,68534.0,262306,53366.0,,,,3614046.0,411137,0.0,8357066,,92671.0,446101,,0,0.0,,,1082152.0,6356903.0,,,,121836.0,144705.0,,1900921.0,673916.0,319697.0,,344949.0,261433.0,0.0,,0.0,7740141.0,617095.0,171353.0,,257087.0,,231601.0,0.0,8126177.0,535396.0,254789.0,66340.0,112673.0,0.0,752512.0,0.0,301336.0,43562718.0
EC,0,EC.A_LB_A,155389.0,1010300,0.0,3917970,735781,,528832,,381024.0,,1550481.0,82608.0,,183084.0,53025.0,501035,76840.0,,,,3569454.0,388765,0.0,4505387,,228006.0,180008,,0,163793.0,,,106588.0,800115.0,,,,274686.0,172459.0,,181784.0,257232.0,254013.0,,0.0,0.0,0.0,,70872.0,98723.0,302852.0,0.0,,122437.0,,62303.0,0.0,723882.0,0.0,59160.0,0.0,0.0,133915.0,152145.0,247622.0,79080.0,64083889.0
EC,0,EC.A_LB_B,55674.0,833894,0.0,1895126,368391,,160664,,158705.0,,1682575.0,62721.0,,77576.0,0.0,259701,0.0,,,,2868248.0,111779,0.0,2548897,,0.0,63669,,0,66071.0,,,81508.0,293287.0,,,,132490.0,59778.0,,299078.0,235580.0,235434.0,,0.0,0.0,0.0,,93940.0,489438.0,411519.0,0.0,,99484.0,,0.0,0.0,1293239.0,0.0,82803.0,0.0,0.0,201090.0,286061.0,303949.0,112422.0,76383368.0
EC,0,EC.A_LB_C,206308.0,1059453,0.0,199890,457109,,365507,,180890.0,,1821750.0,91226.0,,146555.0,0.0,555535,96188.0,,,,3954594.0,169612,0.0,3497616,,176833.0,113874,,0,118007.0,,,85149.0,265880.0,,,,206282.0,0.0,,314410.0,287789.0,323796.0,,0.0,0.0,0.0,,103754.0,410418.0,519574.0,0.0,,136105.0,,96083.0,0.0,1683334.0,0.0,138988.0,0.0,91864.0,314284.0,399067.0,470038.0,136299.0,84586604.0
EC,0,EC.A_LB_D,0.0,1038526,0.0,0,199127,,0,,0.0,,1417005.0,0.0,,0.0,0.0,56244,0.0,,,,1674709.0,64568,118318.0,2622897,,0.0,0,,0,0.0,,,115864.0,1458984.0,,,,0.0,159338.0,,158548.0,343124.0,0.0,,0.0,0.0,0.0,,91673.0,148544.0,331798.0,0.0,,0.0,,0.0,0.0,672139.0,0.0,91058.0,0.0,285335.0,141209.0,448711.0,1389615.0,1477460.0,77981995.0
EC,0,EC.A_LB_E,0.0,746145,0.0,0,0,,0,,0.0,,843090.0,0.0,,0.0,0.0,53025,0.0,,,,1112004.0,71493,0.0,2269429,,0.0,0,,0,0.0,,,78116.0,995169.0,,,,0.0,194881.0,,106502.0,322616.0,0.0,,0.0,0.0,0.0,,89486.0,99315.0,559861.0,0.0,,0.0,,0.0,0.0,1719069.0,0.0,163012.0,0.0,184046.0,206594.0,1084828.0,1869692.0,1251665.0,85548553.0
EC,1,EC.B_LB_A,138406.0,0,0.0,2601103,413560,,369097,,261039.0,,0.0,0.0,,137297.0,0.0,435021,60756.0,,,,1599561.0,291645,0.0,3384709,,174979.0,85978,,0,83980.0,,,330785.0,546566.0,,,,187563.0,108434.0,,90957.0,284966.0,255229.0,,0.0,0.0,0.0,,87201.0,136896.0,320352.0,0.0,,103548.0,,110355.0,0.0,639394.0,73677.0,60053.0,0.0,0.0,208765.0,172360.0,0.0,0.0,72853935.0
EC,1,EC.B_LB_B,157208.0,0,0.0,2591407,258187,,333096,,148155.0,,0.0,68374.0,,160630.0,52938.0,444798,78297.0,,,,1513337.0,244580,0.0,3232684,,171949.0,0,,0,79508.0,,,436384.0,357739.0,,,,182250.0,119064.0,,112115.0,447419.0,305231.0,,0.0,0.0,0.0,,159402.0,303533.0,835199.0,0.0,,172988.0,,194966.0,0.0,1323482.0,299615.0,213434.0,0.0,0.0,448151.0,470892.0,138587.0,70851.0,87016160.0
EC,1,EC.B_LB_C,108232.0,0,0.0,2278562,414624,,324672,,177119.0,,133992.0,58623.0,,116084.0,0.0,425365,88191.0,,,,2244762.0,196334,0.0,3357368,,170322.0,0,,0,75315.0,,,316796.0,177944.0,,,,145681.0,,,189796.0,281528.0,241323.0,,0.0,0.0,0.0,,76070.0,729337.0,395577.0,0.0,,115781.0,,0.0,0.0,1198793.0,146231.0,94999.0,0.0,0.0,365451.0,312473.0,0.0,0.0,77512251.0
EC,1,EC.B_LB_D,0.0,0,0.0,0,0,,0,,0.0,,0.0,0.0,,0.0,0.0,0,0.0,,,,0.0,94963,0.0,1312941,,0.0,0,,0,0.0,,,376463.0,991493.0,,,,0.0,230966.0,,0.0,326330.0,0.0,,0.0,0.0,0.0,,62131.0,60950.0,327139.0,0.0,,0.0,,103267.0,0.0,581729.0,52637.0,117138.0,0.0,72630.0,183803.0,216519.0,79475.0,51688.0,82768482.0
EC,1,EC.B_LB_E,0.0,0,0.0,0,0,,0,,0.0,,0.0,0.0,,0.0,0.0,0,0.0,,,,516079.0,151307,0.0,1084828,,0.0,0,,0,0.0,,,292752.0,1043984.0,,,,0.0,362007.0,,0.0,331717.0,0.0,,0.0,0.0,0.0,,0.0,0.0,171292.0,0.0,,0.0,,0.0,0.0,242246.0,246354.0,135850.0,0.0,67958.0,107442.0,156417.0,,1940003.0,61263721.0
EC,0,EC.A_TSB_A,887825.0,7585417,0.0,673781,0,,58040,,0.0,,0.0,77057.0,,79276.0,0.0,150443,0.0,,,,285915.0,205972,0.0,4976821,,0.0,115357,,78080,51263.0,,,352856.0,2351610.0,,,,127027.0,0.0,,1131862.0,432151.0,179033.0,,0.0,0.0,201877.0,,0.0,0.0,125461.0,0.0,,185259.0,,0.0,0.0,1734037.0,0.0,0.0,0.0,89948.0,0.0,851004.0,0.0,850885.0,88277609.0
EC,0,EC.A_TSB_B,670603.0,7461659,0.0,592162,0,,62292,,0.0,,0.0,52672.0,,68747.0,0.0,0,125917.0,,,,274388.0,185920,0.0,5003470,,0.0,78741,,80161,56793.0,,,248134.0,2007913.0,,,,113605.0,0.0,,1139646.0,292152.0,224753.0,,0.0,0.0,144622.0,,0.0,1341923.0,125475.0,0.0,,220256.0,,0.0,0.0,2010208.0,0.0,0.0,0.0,64680.0,0.0,922978.0,0.0,1183943.0,91230943.0
EC,0,EC.A_TSB_C,576884.0,2372532,0.0,468142,0,,0,,0.0,,152410.0,66285.0,,0.0,0.0,50584,0.0,,,,451935.0,111956,0.0,2399050,,0.0,55845,,0,0.0,,,156017.0,641681.0,,,,67623.0,0.0,,547685.0,239981.0,131516.0,,0.0,0.0,74667.0,,0.0,752118.0,222277.0,0.0,,134335.0,,0.0,0.0,2075742.0,0.0,0.0,0.0,54145.0,0.0,593032.0,0.0,382201.0,109912287.0
EC,0,EC.A_TSB_D,636851.0,5114072,0.0,559183,0,,0,,0.0,,171493.0,0.0,,0.0,0.0,90291,0.0,,,,632825.0,132704,0.0,3934663,,0.0,74957,,525825,0.0,,,158088.0,2911844.0,,,,0.0,0.0,,851829.0,216947.0,158388.0,,0.0,0.0,82691.0,,0.0,1124759.0,89118.0,0.0,,176598.0,,0.0,0.0,1582441.0,0.0,0.0,0.0,0.0,0.0,450711.0,0.0,390122.0,89285823.0
EC,0,EC.A_TSB_E,,7870420,0.0,1225829,0,,101495,,0.0,,0.0,0.0,,0.0,0.0,0,0.0,,,,220140.0,1022779,0.0,2243423,,0.0,0,,0,0.0,,,75932.0,125680.0,,,,0.0,0.0,,508826.0,152770.0,342571.0,,52208.0,0.0,0.0,,0.0,474789.0,222050.0,0.0,,100430.0,,0.0,0.0,1758353.0,0.0,57182.0,0.0,0.0,0.0,843660.0,0.0,1033300.0,82182776.0
EC,1,EC.B_TSB_A,119313.0,1364553,0.0,169495,0,,0,,0.0,,0.0,0.0,,0.0,0.0,54155,0.0,,,,934149.0,151941,0.0,1928512,,0.0,0,,0,0.0,,,985092.0,2373104.0,,,,0.0,0.0,,265324.0,156741.0,82607.0,,0.0,0.0,119773.0,,0.0,410056.0,0.0,0.0,,76521.0,,0.0,0.0,289615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60325589.0
EC,1,EC.B_TSB_B,128397.0,1451138,0.0,359499,0,,0,,0.0,,0.0,0.0,,0.0,0.0,54486,0.0,,,,526119.0,185916,0.0,2047003,,0.0,0,,0,0.0,,,617890.0,2282520.0,,,,0.0,0.0,,558260.0,299459.0,130593.0,,0.0,0.0,235221.0,,0.0,1118337.0,67510.0,0.0,,125495.0,,52814.0,0.0,749942.0,0.0,0.0,0.0,0.0,0.0,78672.0,0.0,0.0,107880324.0
EC,1,EC.B_TSB_C,309004.0,5650813,0.0,875905,0,,109170,,0.0,,310852.0,0.0,,97651.0,0.0,180005,62168.0,,,,809747.0,352271,0.0,6497830,,0.0,92340,,52741,58804.0,,,481673.0,8927089.0,,,,97887.0,0.0,,464549.0,362678.0,136519.0,,0.0,0.0,360779.0,,0.0,855428.0,69218.0,0.0,,156776.0,,0.0,0.0,479315.0,0.0,0.0,0.0,0.0,0.0,84426.0,0.0,0.0,72102392.0
EC,1,EC.B_TSB_D,548442.0,3588158,0.0,637563,0,,60834,,0.0,,483269.0,0.0,,77088.0,0.0,114343,0.0,,,,705595.0,244700,0.0,4141334,,0.0,68147,,85445,0.0,,,610883.0,6388137.0,,,,80664.0,0.0,,1201031.0,303087.0,162366.0,,0.0,0.0,253951.0,,0.0,2405144.0,169862.0,0.0,,165001.0,,84957.0,0.0,2750809.0,0.0,0.0,0.0,0.0,0.0,146349.0,0.0,0.0,85257546.0
EC,1,EC.B_TSB_E,339404.0,3962927,0.0,2988409,348154,,694251,,0.0,,0.0,0.0,,150367.0,0.0,479434,56195.0,,,,336294.0,363923,0.0,4078717,,0.0,0,,0,0.0,,,980973.0,14027578.0,,,,0.0,0.0,,0.0,764794.0,530396.0,,152418.0,129213.0,376472.0,,0.0,4098619.0,975303.0,96187.0,,173580.0,,226100.0,0.0,8172616.0,698476.0,382222.0,0.0,0.0,0.0,635257.0,0.0,482026.0,97156549.0
